"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2.0,WhitePerch,8.8573243E-10,7.22963E-8,9.1463735E-6,6.9298667E-6,0.0030653612,5.149303E-4,1.0231775E-5,0.0,9.811299E-7,1.0586958E-6,1.6421956E-7,0.0023512298,4.8366728E-5,4.7176123E-8,8.767314E-9,6.3883355E-8,0.16028826,2.7061913E-5
2.0,AtlanticTomcod,1.3130167E-5,7.632948E-6,0.0034440688,5.779355E-6,0.0039045534,8.487472E-4,0.0023415585,0.0,3.0051392E-6,8.080078E-5,0.0037448246,0.0028985194,1.140784E-5,9.053828E-6,0.00390594,6.396357E-6,0.07667221,0.035757747
2.0,Diazotrophs,6.782855E-6,1.863011E-5,3.3082746E-5,3.5260942E-5,0.0,3.030066E-7,0.0,1.3352551E-5,9.220748E-5,2.4335981E-5,0.0,0.0,2.4078969E-5,1.3840603E-5,0.0,3.0985384E-6,3.4036764E-6,9.142446E-6
2.0,LargePhytoplankton,0.16807681,0.24283503,0.22754323,0.10863461,0.14410247,0.13446955,0.20869105,0.22774413,0.12821224,0.21227467,0.19042067,0.3232518,0.0703203,0.22562094,0.26135793,0.33737677,0.053789813,0.077691555
2.0,LargeZooplankton,32.355938,47.44878,61.028454,26.92316,44.15872,47.918854,84.35402,34.909206,30.31205,68.47374,81.02805,51.010273,60.38574,34.658123,60.902184,43.360497,15.813625,12.366853
2.0,MediumPhytoplankton,0.05183813,0.023691457,0.03898495,0.02312868,0.006919761,0.016684724,0.017725173,0.031480126,0.035108306,0.05090651,0.0,0.019157892,0.022079682,0.041286387,0.024355998,0.032732744,0.01220329,0.038331166
2.0,MediumZooplankton,0.017189374,0.0017530321,0.0033163908,0.0014264353,0.0015125605,0.0019771752,0.0034998285,0.0015484286,0.002980329,0.0042976257,4.704726E-4,9.146543E-4,0.0024599945,0.003484523,0.001762201,0.002737122,0.13138247,0.0017793289
2.0,SmallPhytoplankton,0.0023947058,9.766794E-4,9.687072E-4,0.0010722574,0.0,2.2525791E-4,0.0,0.0014855162,0.0021573089,3.783657E-4,0.0,0.0,2.3881337E-4,0.0021989231,0.0,0.0017521512,0.0017018382,0.004571223
2.0,SmallZooplankton,50.5934,25.517746,25.488731,41.20897,0.0,9.606745,0.0,35.710163,64.26863,18.03838,0.0,0.0,18.15631,58.49228,0.0,47.30604,57.121696,77.18136
3.0,AtlanticHerring,0.0,4.9960974E-10,2.1168298E-9,0.0,1.0824431E-4,3.5505946E-7,5.5976147E-6,NaN,3.2081488E-12,2.8850925E-8,1.1814743E-8,4.168167E-5,5.6298114E-7,0.0,6.961778E-9,0.0,0.0,0.0
3.0,AtlanticMackerel,0.0,0.20464802,0.4198058,0.10174236,1.4443965,1.5108398,0.32219812,NaN,0.5458106,0.09079807,0.14961474,1.6011603,0.6521196,1.5366661E-4,0.0029114382,1.0258698,0.0,1.3456302E-4
3.0,BlackSeaBass,0.06473992,0.21006465,0.31618655,0.13228773,1.962564,1.001408,2.3837185,NaN,0.2763134,0.48848626,2.170535,1.582397,1.5036445,5.4570326E-5,0.0054304213,0.041557245,0.0,0.2488754
3.0,Scup,0.0,0.011055363,0.002897836,7.232889E-4,0.09194502,0.21180664,0.035826117,NaN,3.5922622E-4,7.0321135E-4,4.0466516E-4,0.080211304,0.08865383,3.1671643E-6,2.760391E-4,4.580794E-5,0.0,8.076995E-4
3.0,SpinyDogfish,0.0,0.0,4.3503846E-11,0.0,0.5214082,7.516461E-5,2.2880186E-4,NaN,0.0,0.0,3.1369567E-11,0.022595352,3.612141E-6,0.0,0.0,0.0,0.0,0.0
3.0,StripedBass,0.0022032368,8.367452E-7,0.0068951026,7.7005086E-4,1.0353458,0.76360226,0.11671773,NaN,0.051246677,6.8902515E-4,0.002815742,0.35282457,0.018160142,1.0295485E-8,0.0047242953,8.592379E-5,0.30958608,0.00925373
3.0,Goosefish,6.9347945E-5,0.0018061642,0.049567416,0.0042089745,3.3941789,0.16553168,1.2199394,NaN,0.007878316,0.062230658,0.04993952,2.1635098,0.9147677,6.682538E-13,0.007047711,7.3953433E-6,0.0,0.0012943257
3.0,Haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,WinterFlounder,2.2897895E-12,0.6096787,0.6338527,0.042919885,1.5322319,2.6086318,0.24224699,NaN,1.3610365,0.5927616,0.38892987,1.2676337,0.83736104,9.436861E-9,0.03724505,5.235515,0.0,2.558548
3.0,Squids,0.010736505,0.13090053,1.1791499,0.18893903,3.818618,0.6525352,3.8646038,NaN,0.07107063,0.35910624,2.775542,3.8109746,2.285951,3.0655682E-4,0.058576494,0.02098409,0.0,0.0
3.0,Flounders,1.2468687,0.502446,0.27103314,0.3209355,14.386605,2.6228034,1.8943832,NaN,0.1002964,0.35252804,0.17139623,10.594019,1.3424478,1.149172,0.14869338,0.98814607,0.0,0.029045979
3.0,SkateRays,0.0,1.8254777E-7,2.6554494E-6,5.096442E-7,0.020341877,0.0018752315,0.015303455,NaN,1.874917E-8,1.1878763E-5,7.016886E-5,0.004307715,0.0018496319,0.0,2.1126928E-6,3.3204522E-8,0.0,0.0
3.0,Hakes,0.0,6.146936E-4,0.07248155,0.049694996,0.7594399,0.21152136,0.1884196,NaN,8.799801E-4,4.064192E-4,0.0055110883,0.42986563,0.21786015,6.5855557E-13,4.6542706E-4,2.0397561E-5,0.0,2.9174246E-6
3.0,Benthopelagics,1.1236045,7.196623,2.9624834,3.5124047,5.5028353,10.865189,2.4484143,NaN,0.73043495,3.54904,5.6744165,6.9012637,4.7784877,1.1648909,14.0501375,1.8759803,25.423517,4.7236323
3.0,MiscellaneousDemersals,0.084344074,3.5468473,0.6578754,1.3406277,18.050362,9.15235,3.2317588,NaN,0.56060994,1.0532224,12.540978,17.437399,2.047473,1.5541639,2.7921164,1.9700986,13.398137,4.045323
3.0,ShallowDemersal,0.0,2.3072523E-4,0.055950865,0.15843052,0.65283215,0.16913149,0.28245637,NaN,0.024875484,0.3234137,0.012463518,0.9354523,0.0126106655,0.23787256,1.4212213,0.8216527,0.02974947,1.2869672
3.0,WhitePerch,0.0,2.8040753E-15,4.3501442E-9,0.0,2.3684777E-7,2.0529067E-5,3.614936E-4,NaN,1.0470957E-9,1.6941139E-29,1.2577409E-9,6.197484E-7,0.0,1.9200869E-28,1.8393262E-10,5.0281496E-10,0.0,4.2040523E-7
3.0,AtlanticTomcod,0.0,4.483402E-9,4.8780843E-5,1.9712478E-9,0.041426174,0.009662186,0.004434465,NaN,6.3830544E-4,4.4046108E-5,0.013677444,0.019180473,3.2831074E-5,0.0050441017,0.19079751,9.88324E-5,1.1496634,1.7560103
3.0,Diazotrophs,7.653776E-6,9.427938E-5,6.910936E-5,2.5057036E-4,0.0,5.0106523E-6,0.0,NaN,5.6473655E-5,5.6905683E-5,0.0,0.0,5.9372574E-5,3.4831104E-5,0.0,4.0545333E-6,3.1925954E-6,8.501541E-6
3.0,LargePhytoplankton,0.17360346,0.19486469,0.21370399,0.08159486,0.121849984,0.15059802,0.13657255,NaN,0.13756119,0.16325594,0.23406641,0.29025266,0.056100126,0.15193762,0.403951,0.29865322,0.019015526,0.083110474
3.0,LargeZooplankton,28.891897,52.030052,56.523857,28.220808,46.654865,54.919445,83.583984,NaN,22.868343,70.00101,75.80902,52.48504,61.355015,31.058922,80.830574,37.243034,5.740517,13.426739
3.0,MediumPhytoplankton,0.0718623,0.018667765,0.044153344,0.033515695,0.0071708476,0.018939367,0.024637768,NaN,0.04113165,0.0492149,0.0,0.02114071,0.027346583,0.046221312,0.043023705,0.03349446,0.012047681,0.034329515
3.0,MediumZooplankton,0.0034197306,0.0016589792,0.0033581492,0.0020745818,0.0014747019,0.0022303571,0.003787208,NaN,0.0033270612,0.0045813397,6.1707443E-4,7.332386E-4,0.0028720424,0.0032728391,0.0028058288,0.0026320699,9.1704685E-4,0.0019397982
3.0,SmallPhytoplankton,0.0028232133,0.0011796588,0.0013091326,0.0018064551,0.0,3.078124E-4,0.0,NaN,0.0028970302,4.356772E-4,0.0,0.0,3.011233E-4,0.0023719973,0.0,0.0020080216,0.0015962977,0.0042507704
3.0,SmallZooplankton,68.32382,35.33857,36.585316,65.80627,0.0,14.961488,0.0,NaN,73.21523,22.908003,0.0,0.0,23.856884,64.62558,0.0,50.44011,53.91525,71.78973
4.0,AtlanticHerring,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0
4.0,AtlanticMackerel,NaN,0.16394116,0.39918008,0.22920726,1.0311544,0.3393467,0.3450902,NaN,0.46150348,0.07555345,0.014078423,1.0807636,0.28046638,8.2886953E-7,4.737887E-5,7.681099E-5,NaN,5.8115984E-5
4.0,BlackSeaBass,NaN,0.3997367,0.40156764,0.20324588,1.5784734,0.3008593,0.9868176,NaN,0.4152601,1.2684075,0.004132544,1.3809695,2.1090872,0.048206344,1.0483076E-4,0.067292124,NaN,0.088747874
4.0,Scup,NaN,0.0013263173,0.0032065937,8.2219206E-4,0.0998322,0.008631298,0.02257909,NaN,4.673971E-4,0.0065907435,0.0016865429,0.09894624,0.14955083,0.001097615,2.2077971E-5,1.01681E-8,NaN,5.569823E-6
4.0,SpinyDogfish,NaN,0.0,2.4264916E-6,0.0,0.45555708,1.5894355E-5,3.1953774E-4,NaN,0.0,0.0,9.097655E-17,0.038100734,4.99397E-6,0.0,0.0,0.0,NaN,0.0
4.0,StripedBass,NaN,0.19338527,0.48251012,0.0,1.1860399,1.1418761,0.15248802,NaN,1.2682432,0.023879724,0.0021865421,0.7061807,0.7100115,0.008993083,6.40958E-5,0.13493197,NaN,0.06399341
4.0,Goosefish,NaN,0.055142447,0.25145343,0.016237553,2.159999,0.13977972,1.0371473,NaN,0.054493215,0.037473768,0.021473946,1.2695739,1.1109558,8.989745E-20,0.0044109244,2.8987575E-4,NaN,0.0010554189
4.0,Haddock,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0
4.0,WinterFlounder,NaN,1.0887872,0.6553221,3.270748E-8,1.0777807,1.2680268,0.07102363,NaN,2.1447663,0.89992857,0.0016183165,0.79084563,0.32628325,1.8136071E-6,4.780049E-4,1.5135802,NaN,1.9307034
4.0,Squids,NaN,0.32531747,0.28848317,0.2844203,2.069891,0.026587306,0.22838491,NaN,1.3142066E-4,0.062898085,0.079693966,1.4357653,0.37322745,0.003026287,0.14511913,1.439923E-4,NaN,0.0
4.0,Flounders,NaN,1.2867812,0.18564676,0.20331384,17.950464,0.15847483,0.3956312,NaN,4.1966003E-4,2.0172374,0.018184014,13.997728,1.0680867,0.73910004,0.081398405,2.2675702E-4,NaN,0.74296874
4.0,SkateRays,NaN,4.406397E-5,4.154217E-6,1.1044831E-6,0.0050253375,1.0043573E-5,0.01789332,NaN,3.2523605E-8,2.65789E-4,3.2445172E-5,0.0019602447,3.5572564E-4,0.0,4.204335E-6,7.224083E-10,NaN,0.0
4.0,Hakes,NaN,2.304461E-4,9.89271E-4,0.0020026267,0.302046,0.038655773,0.018394755,NaN,2.193824E-4,5.5867055E-4,2.9648047E-5,0.20432107,0.0054654833,1.9044062E-5,1.0299124E-4,8.375579E-9,NaN,0.003270713
4.0,Benthopelagics,NaN,5.565656,2.7995844,3.549067,7.1944456,10.748787,2.6354804,NaN,0.2810601,3.7835119,11.4890995,8.388888,5.4365163,3.6128547,31.285715,0.08049798,NaN,3.6652515
4.0,MiscellaneousDemersals,NaN,3.4961782,0.69501024,1.0342828,19.882755,0.43905246,1.2208263,NaN,0.44753888,1.1890479,3.6005657,19.387362,1.8413762,2.3966198,3.5808382,0.50105995,NaN,2.8110719
4.0,ShallowDemersal,NaN,2.5950958E-5,0.46707043,0.0,0.30133298,0.0018903221,0.06617327,NaN,0.120639846,0.024091922,3.8540657E-4,0.58929,7.312701E-4,0.0967133,0.4538875,0.32630986,NaN,3.388978
4.0,WhitePerch,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0
4.0,AtlanticTomcod,NaN,1.7762688E-6,0.0053752656,1.8593962E-30,0.03189968,1.6437865E-4,0.012472326,NaN,0.0056884084,3.7357837E-5,0.2312437,0.03562184,0.003270752,0.0018992875,0.12753311,0.0059451777,NaN,2.3037472
4.0,Diazotrophs,NaN,2.3080695E-5,1.2804924E-5,5.4153774E-5,0.0,1.3654844E-6,0.0,NaN,7.5004127E-6,2.7636495E-6,0.0,0.0,6.5640515E-6,1.209752E-5,0.0,4.239332E-6,NaN,8.404297E-6
4.0,LargePhytoplankton,NaN,0.27590424,0.32135603,0.12187325,0.16251355,0.1751887,0.17069742,NaN,0.2144258,0.2787205,0.2608887,0.40125158,0.07857363,0.17158173,0.3318896,0.32032463,NaN,0.08675206
4.0,LargeZooplankton,NaN,54.062977,60.97513,27.73009,44.500828,48.270046,92.5813,NaN,24.9119,63.57052,84.27407,50.173046,60.213467,33.95841,63.95639,33.16148,NaN,13.882076
